stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
20697,2011-06,B1_last_month,1.482600,product,12,C,False
20698,2011-06,B1_last_month,2.965200,product,12,C,False
20699,2011-06,B1_last_month,6.671700,product,12,C,False
20700,2011-06,B1_last_month,2.965200,product,12,B,False
20701,2011-06,B1_last_month,1.482600,product,12,C,False
20702,2011-06,B1_last_month,14.084700,product,12,B,False
20703,2011-06,B1_last_month,4.447800,product,12,B,False
20704,2011-06,B1_last_month,5.189100,product,12,B,False
20705,2011-06,B1_last_month,5.930400,product,12,C,False
20707,2011-06,B1_last_month,19.273800,product,12,B,False
20711,2011-06,B1_last_month,469.984200,product,12,A,False
20712,2011-06,B1_last_month,809.499600,product,12,A,False
20713,2011-06,B1_last_month,809.499600,product,12,A,False
20716,2011-06,B1_last_month,34.099800,product,12,B,False
20717,2011-06,B1_last_month,165.309900,product,12,A,False
20718,2011-06,B1_last_month,272.798400,product,12,A,False
20719,2011-06,B1_last_month,335.808900,product,12,A,False
20723,2011-06,B1_last_month,350.634900,product,12,A,False
20724,2011-06,B1_last_month,330.619800,product,12,A,False
20725,2011-06,B1_last_month,982.222500,product,12,A,False
20726,2011-06,B1_last_month,452.193000,product,12,A,False
20727,2011-06,B1_last_month,773.917200,product,12,A,False
20728,2011-06,B1_last_month,561.905400,product,12,A,False
20731,2011-06,B1_last_month,11.860800,product,12,B,False
20733,2011-06,B1_last_month,89.697300,product,12,B,False
20734,2011-06,B1_last_month,180.877200,product,12,B,False
20735,2011-06,B1_last_month,140.105700,product,12,B,False
20748,2011-06,B1_last_month,4.447800,product,12,A,False
20749,2011-06,B1_last_month,67.458300,product,12,A,False
20750,2011-06,B1_last_month,72.647400,product,12,A,False
20751,2011-06,B1_last_month,76.353900,product,12,A,False
20752,2011-06,B1_last_month,30.393300,product,12,B,False
20754,2011-06,B1_last_month,122.314500,product,12,A,False
20755,2011-06,B1_last_month,49.667100,product,12,B,False
20756,2011-06,B1_last_month,14.826000,product,12,C,False
20757,2011-06,B1_last_month,10.378200,product,12,C,False
20758,2011-06,B1_last_month,12.602100,product,12,C,False
20759,2011-06,B1_last_month,7.413000,product,12,C,False
20760,2011-06,B1_last_month,64.493100,product,12,B,False
20761,2011-06,B1_last_month,4.447800,product,12,B,False
20762,2011-06,B1_last_month,9.636900,product,12,B,False
20763,2011-06,B1_last_month,9.636900,product,12,C,False
20764,2011-06,B1_last_month,5.189100,product,12,B,False
20765,2011-06,B1_last_month,9.636900,product,12,B,False
20766,2011-06,B1_last_month,12.602100,product,12,B,False
20767,2011-06,B1_last_month,10.378200,product,12,B,False
20768,2011-06,B1_last_month,13.343400,product,12,B,False
20769,2011-06,B1_last_month,10.378200,product,12,C,False
20770,2011-06,B1_last_month,28.910700,product,12,B,False
20771,2011-06,B1_last_month,5.189100,product,12,B,False
20772,2011-06,B1_last_month,11.119500,product,12,B,False
20773,2011-06,B1_last_month,8.154300,product,12,B,False
20774,2011-06,B1_last_month,4.447800,product,12,C,False
20775,2011-06,B1_last_month,6.671700,product,12,C,False
20777,2011-06,B1_last_month,6.671700,product,12,B,False
20778,2011-06,B1_last_month,5.189100,product,12,B,False
20780,2011-06,B1_last_month,1.482600,product,12,B,False
20781,2011-06,B1_last_month,2.223900,product,12,C,False
20782,2011-06,B1_last_month,5.930400,product,12,C,False
20785,2011-06,B1_last_month,5.930400,product,12,A,False
20793,2011-06,B1_last_month,0.741300,product,12,C,False
20794,2011-06,B1_last_month,5.930400,product,12,C,False
20795,2011-06,B1_last_month,10.378200,product,12,C,False
20796,2011-06,B1_last_month,2.223900,product,12,C,False
20798,2011-06,B1_last_month,15.567300,product,12,B,False
20801,2011-06,B1_last_month,14.084700,product,12,B,False
20802,2011-06,B1_last_month,40.771500,product,12,B,False
20803,2011-06,B1_last_month,56.338800,product,12,C,False
20816,2011-06,B1_last_month,2.965200,product,12,C,False
20818,2011-06,B1_last_month,1.482600,product,12,C,False
20819,2011-06,B1_last_month,8.895600,product,12,C,False
20820,2011-06,B1_last_month,1.482600,product,12,C,False
20821,2011-06,B1_last_month,1.482600,product,12,C,False
20823,2011-06,B1_last_month,5.930400,product,12,C,False
20826,2011-06,B1_last_month,5.189100,product,12,C,False
20827,2011-06,B1_last_month,0.741300,product,12,C,False
20828,2011-06,B1_last_month,116.384100,product,12,A,False
20829,2011-06,B1_last_month,118.608000,product,12,A,False
20830,2011-06,B1_last_month,8.154300,product,12,B,False
20831,2011-06,B1_last_month,11.860800,product,12,C,False
20832,2011-06,B1_last_month,25.945500,product,12,C,False
20835,2011-06,B1_last_month,0.000000,product,9,C,True
20836,2011-06,B1_last_month,0.000000,product,7,C,True
20837,2011-06,B1_last_month,0.000000,product,10,C,True
20838,2011-06,B1_last_month,8.895600,product,12,C,False
20839,2011-06,B1_last_month,5.189100,product,12,C,False
20840,2011-06,B1_last_month,7.413000,product,12,B,False
20845,2011-06,B1_last_month,1.482600,product,12,C,False
20846,2011-06,B1_last_month,26.686800,product,12,B,False
20847,2011-06,B1_last_month,2.965200,product,12,C,False
20848,2011-06,B1_last_month,2.965200,product,12,C,False
20851,2011-06,B1_last_month,4.447800,product,12,C,False
20854,2011-06,B1_last_month,17.049900,product,12,C,False
20856,2011-06,B1_last_month,14.826000,product,12,C,False
20857,2011-06,B1_last_month,9.636900,product,12,C,False
20860,2011-06,B1_last_month,1.482600,product,12,C,False
20861,2011-06,B1_last_month,5.189100,product,12,C,False
20866,2011-06,B1_last_month,14.826000,product,12,B,False
20867,2011-06,B1_last_month,20.015100,product,12,B,False
20868,2011-06,B1_last_month,18.532500,product,12,C,False
20869,2011-06,B1_last_month,3.706500,product,12,C,False
20871,2011-06,B1_last_month,40.771500,product,12,B,False
20878,2011-06,B1_last_month,17.791200,product,10,B,False
20886,2011-06,B1_last_month,57.821400,product,12,A,False
20892,2011-06,B1_last_month,0.741300,product,12,B,False
20893,2011-06,B1_last_month,51.149700,product,12,B,False
20894,2011-06,B1_last_month,5.930400,product,12,C,False
20897,2011-06,B1_last_month,8.154300,product,12,C,False
20898,2011-06,B1_last_month,9.636900,product,12,C,False
20902,2011-06,B1_last_month,6.671700,product,12,B,False
20903,2011-06,B1_last_month,2.223900,product,12,C,False
20906,2011-06,B1_last_month,2.223900,product,12,C,False
20910,2011-06,B1_last_month,3.706500,product,12,C,False
20914,2011-06,B1_last_month,251.300700,product,12,A,False
20931,2011-06,B1_last_month,18.532500,product,12,B,False
