model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M3_gbm_squared,forecast_only,1.645000,month,2011-07,0.766507,64123.000000,81158.000000,0.243223,1.265661,2693
M3_gbm_squared,forecast_only,1.645000,month,2011-08,0.776520,64424.000000,114608.000000,0.171565,1.778964,2722
M3_gbm_squared,forecast_only,1.645000,month,2011-09,0.669236,131928.000000,101700.000000,0.243631,0.770875,2787
M3_gbm_squared,forecast_only,1.645000,month,2011-10,0.735358,112908.000000,142567.000000,0.208378,1.262683,2817
M3_gbm_squared,forecast_only,1.645000,month,2011-11,0.734687,140167.000000,126369.000000,0.261888,0.901560,2776
M3_gbm_squared,forecast_only,1.645000,abc,A,0.770458,361239.000000,379943.000000,0.349822,1.051777,4771
M3_gbm_squared,forecast_only,1.645000,abc,B,0.639225,152042.000000,135085.000000,0.263212,0.888472,4825
M3_gbm_squared,forecast_only,1.645000,abc,C,0.619866,73602.000000,144411.000000,0.113804,1.962053,6933
M3_gbm_squared,forecast_only,2.050000,overall,all,0.731869,586883.000000,659439.000000,0.225543,1.123629,16529
M3_gbm_squared,forecast_only,2.050000,month,2011-06,0.730472,73333.000000,93037.000000,0.224214,1.268692,2734
M3_gbm_squared,forecast_only,2.050000,month,2011-07,0.766507,64123.000000,81158.000000,0.243223,1.265661,2693
M3_gbm_squared,forecast_only,2.050000,month,2011-08,0.776520,64424.000000,114608.000000,0.171565,1.778964,2722
M3_gbm_squared,forecast_only,2.050000,month,2011-09,0.669236,131928.000000,101700.000000,0.243631,0.770875,2787
M3_gbm_squared,forecast_only,2.050000,month,2011-10,0.735358,112908.000000,142567.000000,0.208378,1.262683,2817
M3_gbm_squared,forecast_only,2.050000,month,2011-11,0.734687,140167.000000,126369.000000,0.261888,0.901560,2776
M3_gbm_squared,forecast_only,2.050000,abc,A,0.770458,361239.000000,379943.000000,0.349822,1.051777,4771
M3_gbm_squared,forecast_only,2.050000,abc,B,0.639225,152042.000000,135085.000000,0.263212,0.888472,4825
M3_gbm_squared,forecast_only,2.050000,abc,C,0.619866,73602.000000,144411.000000,0.113804,1.962053,6933
M3_gbm_squared,forecast_plus_ss,1.280000,overall,all,0.877772,267531.000000,1982612.000000,0.083187,7.410775,16529
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-06,0.889095,30175.000000,323151.000000,0.073153,10.709229,2734
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-07,0.910886,24473.000000,314575.000000,0.077237,12.853962,2693
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-08,0.932169,19554.000000,334666.000000,0.047759,17.114964,2722
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-09,0.837283,64901.000000,307393.000000,0.103337,4.736337,2787
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-10,0.852336,63000.000000,370753.000000,0.092297,5.884968,2817
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-11,0.876156,65428.000000,332074.000000,0.104107,5.075411,2776
M3_gbm_squared,forecast_plus_ss,1.280000,abc,A,0.915132,133560.000000,1311466.000000,0.102494,9.819302,4771
M3_gbm_squared,forecast_plus_ss,1.280000,abc,B,0.806078,81725.000000,396324.000000,0.101140,4.849483,4825
M3_gbm_squared,forecast_plus_ss,1.280000,abc,C,0.730164,52246.000000,274822.000000,0.057407,5.260154,6933
M3_gbm_squared,forecast_plus_ss,1.645000,overall,all,0.896621,226276.000000,2409842.000000,0.068244,10.650011,16529
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-06,0.906321,25488.000000,396409.000000,0.057425,15.552770,2734
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-07,0.924526,20727.000000,388716.000000,0.061270,18.754089,2693
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-08,0.947425,15156.000000,405833.000000,0.037840,26.777052,2722
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-09,0.860740,55545.000000,375845.000000,0.086114,6.766496,2787
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-10,0.870700,55165.000000,442235.000000,0.077032,8.016587,2817
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-11,0.897418,54195.000000,400804.000000,0.088617,7.395590,2776
M3_gbm_squared,forecast_plus_ss,1.645000,abc,A,0.932625,106030.000000,1614492.000000,0.079438,15.226747,4771
M3_gbm_squared,forecast_plus_ss,1.645000,abc,B,0.829849,71707.000000,480876.000000,0.083316,6.706124,4825
M3_gbm_squared,forecast_plus_ss,1.645000,abc,C,0.749309,48539.000000,314474.000000,0.050050,6.478790,6933
M3_gbm_squared,forecast_plus_ss,2.050000,overall,all,0.912921,190597.000000,2893783.000000,0.057172,15.182731,16529
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-06,0.919108,22009.000000,479377.000000,0.046452,21.780953,2734
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-07,0.936411,17463.000000,471839.000000,0.052729,27.019355,2693
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-08,0.960063,11513.000000,486015.000000,0.028655,42.214453,2722
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-09,0.881825,47135.000000,453696.000000,0.074632,9.625459,2787
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-10,0.885945,48661.000000,523718.000000,0.068158,10.762582,2817
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-11,0.917064,43816.000000,479138.000000,0.071326,10.935229,2776
M3_gbm_squared,forecast_plus_ss,2.050000,abc,A,0.947292,82948.000000,1958198.000000,0.063509,23.607537,4771
M3_gbm_squared,forecast_plus_ss,2.050000,abc,B,0.851499,62583.000000,576601.000000,0.070466,9.213381,4825
M3_gbm_squared,forecast_plus_ss,2.050000,abc,C,0.767246,45066.000000,358984.000000,0.043560,7.965739,6933
M4_gbm_absolute,forecast_only,1.280000,overall,all,0.617266,837725.000000,278310.000000,0.424466,0.332221,16529
M4_gbm_absolute,forecast_only,1.280000,month,2011-06,0.631464,100271.000000,41393.000000,0.412948,0.412811,2734
M4_gbm_absolute,forecast_only,1.280000,month,2011-07,0.658534,93775.000000,36582.000000,0.440401,0.390104,2693
M4_gbm_absolute,forecast_only,1.280000,month,2011-08,0.662445,97309.000000,41969.000000,0.369214,0.431296,2722
M4_gbm_absolute,forecast_only,1.280000,month,2011-09,0.553305,178168.000000,39830.000000,0.438105,0.223553,2787
M4_gbm_absolute,forecast_only,1.280000,month,2011-10,0.627304,159009.000000,68176.000000,0.389776,0.428756,2817
